"Rank","State","Data",

"1","New Jersey NJ","67.4%",
"2","Minnesota MN","65.1%",
"3","Colorado CO","63.5%",
"4","Maine ME","60.9%",
"5","Oregon OR","58.8%",
"6","Washington WA","58.3%",
"7","Virginia VA","56.4%",
"8","Montana MT","56.1%",
"9","Iowa IA","55.4%",
"10","North Carolina NC","55.1%",
"11","Pennsylvania PA","54.4%",
"12","Connecticut CT","54.1%",
"13","California CA","54%",
"14","Michigan MI","54%",
"15","Florida FL","53.7%",
"16","Nevada NV","53.1%",
"17","Delaware DE","52.1%",
"18","Massachusetts MA","52%",
"19","Arizona AZ","50.9%",
"20","Georgia GA","50.6%",
"21","Nebraska NE","50.2%",
"22","Vermont VT","49.5%",
"23","Ohio OH","49%",
"24","Idaho ID","48.3%",
"25","Alabama AL","46.7%",
"26","Missouri MO","46.3%",
"27","Illinois IL","45.6%",
"28","Kansas KS","45.4%",
"29","New York NY","45.2%",
"30","South Carolina SC","44.8%",
"31","Rhode Island RI","43.4%",
"32","Tennessee TN","43.1%",
"33","Louisiana LA","41.9%",
"34","Indiana IN","41.6%",
"35","Texas TX","41.4%",
"36","West Virginia WV","39.8%",
"37","New Mexico NM","38.5%",
"38","Arkansas AR","34.6%",
"39","Oklahoma OK","34%",
"40","South Dakota SD","31.9%",
"41","Alaska AK","no data",
"42","District of Columbia DC","no data",
"43","Hawaii HI","no data",
"44","Kentucky KY","no data",
"45","Maryland MD","no data",
"46","Mississippi MS","no data",
"47","New Hampshire NH","no data",
"48","North Dakota ND","no data",
"49","Utah UT","no data",
"50","Wisconsin WI","no data",
"51","Wyoming WY","no data",
"52", ALL US, 49.75%
